186	HOLLY	0.12	382086
187	BRITTANY	0.12	382086
188	MELANIE	0.12	378820
189	LORETTA	0.12	375555
190	YOLANDA	0.12	375555
191	JEANETTE	0.12	375555
192	LAURIE	0.11	372289
193	KATIE	0.11	369023
194	KRISTEN	0.11	362492
195	VANESSA	0.11	362492
196	ALMA	0.11	362492
197	SUE	0.11	362492
198	ELSIE	0.11	359226
199	BETH	0.11	359226
200	JEANNE	0.11	355961
201	VICKI	0.11	355961
202	CARLA	0.11	349429
203	TARA	0.11	349429
204	ROSEMARY	0.11	349429
205	EILEEN	0.11	342898
206	TERRI	0.11	342898
207	GERTRUDE	0.10	336366
208	LUCY	0.10	336366
209	TONYA	0.10	333101
210	ELLA	0.10	329835
211	STACEY	0.10	329835
212	WILMA	0.10	323304
213	GINA	0.10	323304
214	KRISTIN	0.10	323304
215	JESSIE	0.10	320038
216	NATALIE	0.10	320038
217	AGNES	0.10	320038
218	VERA	0.10	320038
219	WILLIE	0.10	316772
220	CHARLENE	0.10	316772
221	BESSIE	0.10	313507
222	DELORES	0.10	310241
223	MELINDA	0.09	306975
224	PEARL	0.09	306975
225	ARLENE	0.09	306975
226	MAUREEN	0.09	300444
227	COLLEEN	0.09	300444
228	ALLISON	0.09	300444
229	TAMARA	0.09	300444
230	JOY	0.09	297178
231	GEORGIA	0.09	297178
232	CONSTANCE	0.09	297178
233	LILLIE	0.09	293912
234	CLAUDIA	0.09	293912
235	JACKIE	0.09	293912
236	MARCIA	0.09	293912
237	TANYA	0.09	290647
238	NELLIE	0.09	290647
239	MINNIE	0.09	290647
240	MARLENE	0.09	287381
241	HEIDI	0.09	287381
242	GLENDA	0.09	287381
243	LYDIA	0.09	280850
244	VIOLA	0.09	280850
245	COURTNEY	0.09	280850
246	MARIAN	0.09	280850
247	STELLA	0.09	277584
248	CAROLINE	0.09	277584
249	DORA	0.08	274318
250	JO	0.08	271053
251	VICKIE	0.08	267787
252	MATTIE	0.08	264521
253	TERRY	0.08	261255
254	MAXINE	0.08	257990
255	IRMA	0.08	257990
256	MABEL	0.08	254724
257	MARSHA	0.08	254724
258	MYRTLE	0.08	254724
259	LENA	0.08	251458
260	CHRISTY	0.08	251458
261	DEANNA	0.08	248193
262	PATSY	0.08	248193
263	HILDA	0.08	244927
264	GWENDOLYN	0.07	241661
265	JENNIE	0.07	238396
266	NORA	0.07	238396
267	MARGIE	0.07	235130
268	NINA	0.07	235130
269	CASSANDRA	0.07	235130
270	LEAH	0.07	235130
271	PENNY	0.07	231864
272	KAY	0.07	231864
273	PRISCILLA	0.07	231864
274	NAOMI	0.07	231864
275	CAROLE	0.07	231864
276	BRANDY	0.07	228599
277	OLGA	0.07	228599
278	BILLIE	0.07	225333
279	DIANNE	0.07	225333
280	TRACEY	0.07	225333
281	LEONA	0.07	225333
282	JENNY	0.07	222067
283	FELICIA	0.07	222067
284	SONIA	0.07	222067
285	MIRIAM	0.07	215536
286	VELMA	0.07	215536
287	BECKY	0.07	215536
288	BOBBIE	0.07	212270
289	VIOLET	0.07	212270
290	KRISTINA	0.07	212270
291	TONI	0.06	209004
292	MISTY	0.06	205739
293	MAE	0.06	205739
294	SHELLY	0.06	202473
295	DAISY	0.06	202473
296	RAMONA	0.06	202473
297	SHERRI	0.06	202473
298	ERIKA	0.06	199207
299	KATRINA	0.06	199207
300	CLAIRE	0.06	199207
301	LINDSEY	0.06	195942
302	LINDSAY	0.06	195942
303	GENEVA	0.06	192676
304	GUADALUPE	0.06	192676
305	BELINDA	0.06	192676
306	MARGARITA	0.06	192676
307	SHERYL	0.06	192676
308	CORA	0.06	189410
309	FAYE	0.06	189410
310	ADA	0.06	186145
311	NATASHA	0.06	186145
312	SABRINA	0.06	186145
313	ISABEL	0.06	186145
314	MARGUERITE	0.06	182879
315	HATTIE	0.06	182879
316	HARRIET	0.06	182879
317	MOLLY	0.06	179613
318	CECILIA	0.06	179613
319	KRISTI	0.06	179613
320	BRANDI	0.06	179613
321	BLANCHE	0.06	179613
322	SANDY	0.06	179613
323	ROSIE	0.06	179613
324	JOANNA	0.06	179613
325	IRIS	0.06	179613
326	EUNICE	0.05	176347
327	ANGIE	0.05	176347
328	INEZ	0.05	173082
