1	JAMES	0.03687650370625610000	10835570
2	JOHN	0.03635414071096690000	10682082
3	ROBERT	0.03493153807559580000	10264073
4	MICHAEL	0.02921890410062300000	8585507
5	WILLIAM	0.02724059991644810000	8004214
6	DAVID	0.02626256124274580000	7716833
7	RICHARD	0.01892726948833800000	5561475
8	CHARLES	0.01692673846739250000	4973651
9	JOSEPH	0.01560416170241220000	4585033
10	THOMAS	0.01533742264475440000	4506656
11	CHRISTOPHER	0.01150306698356580000	3379992
12	DANIEL	0.01082510932431830000	3180785
13	PAUL	0.01053614342989000000	3095877
14	MARK	0.01042500243947280000	3063220
15	DONALD	0.01034720340585250000	3040360
16	GEORGE	0.01030274632902910000	3027297
17	KENNETH	0.00918022470811273000	2697462
18	STEVEN	0.00866898023613225000	2547241
19	EDWARD	0.00865786511610583000	2543975
20	BRIAN	0.00817995919763998000	2403550
21	RONALD	0.00805770308719634000	2367627
22	ANTHONY	0.00801324941365530000	2354565
23	KEVIN	0.00745754446156916000	2191280
24	JASON	0.00733528835112551000	2155357
25	MATTHEW	0.00730194639432857000	2145560
26	GARY	0.00722415076399059000	2122701
27	TIMOTHY	0.00711300977357337000	2090044
28	JOSE	0.00681292875911862000	2001870
29	LARRY	0.00664621557185162000	1952884
30	JEFFREY	0.00656841994151364000	1930025
31	FRANK	0.00645727895109641000	1897368
32	SCOTT	0.00606828378299496000	1783068
33	ERIC	0.00604605694622444000	1776537
34	STEPHEN	0.00600159986940108000	1763474
35	ANDREW	0.00596825791260415000	1753677
36	RAYMOND	0.00542366808054442000	1593658
37	GREGORY	0.00490130848853753000	1440171
38	JOSHUA	0.00483462117166134000	1420576
39	JERRY	0.00480127921486440000	1410779
40	DENNIS	0.00461234259410920000	1355263
41	WALTER	0.00443451769009809000	1303012
42	PATRICK	0.00432337669968087000	1270355
43	PETER	0.00423446254603416000	1244229
44	HAROLD	0.00412332155561693000	1211572
45	DOUGLAS	0.00407886447879358000	1198509
46	HENRY	0.00405663764202305000	1191978
47	CARL	0.00384547078121501000	1129930
48	ARTHUR	0.00372321467077137000	1094007
49	RYAN	0.00364541563715108000	1071147
50	ROGER	0.00357873172355720000	1051553
51	JOE	0.00356761660353079000	1048287
52	JUAN	0.00351204780996333000	1031959
53	JACK	0.00350093268993691000	1028693
54	ALBERT	0.00348982097319281000	1025428
55	JONATHAN	0.00347870585316639000	1022162
56	JUSTIN	0.00345647901639587000	1015631
57	TERRY	0.00345647901639587000	1015631
58	GERALD	0.00343424877634304000	1009099
59	KEITH	0.00342313365631662000	1005833
60	SAMUEL	0.00340090681954610000	999302
61	WILLIE	0.00335644974272275000	986239
62	RALPH	0.00313416776188829000	920925
63	LAWRENCE	0.00313416776188829000	920925
64	NICHOLAS	0.00305637213155031000	898066
65	ROY	0.00303414189149748000	891534
66	BENJAMIN	0.00300079993470054000	881737
67	BRUCE	0.00292300090108025000	858877
68	BRANDON	0.00288965894428331000	849080
69	ADAM	0.00287854722753921000	845815
70	HARRY	0.00278963307389250000	819689
71	FRED	0.00278963307389250000	819689
72	WAYNE	0.00276740623712198000	813158
73	BILLY	0.00275629111709556000	809892
74	STEVE	0.00273406087704273000	803360
75	LOUIS	0.00270071892024579000	793563
76	JEREMY	0.00268960720350169000	790298
77	AARON	0.00266737696344886000	783766
78	RANDY	0.00257846621308446000	757641
79	HOWARD	0.00255623597303163000	751109
80	EUGENE	0.00255623597303163000	751109
81	CARLOS	0.00254512425628752000	747844
82	RUSSELL	0.00248955205943775000	731515
83	BOBBY	0.00247844034269365000	728250
84	VICTOR	0.00246732522266723000	724984
85	MARTIN	0.00240064130907336000	705390
86	ERNEST	0.00238952618904694000	702124
87	PHILLIP	0.00236729935227642000	695593
88	TODD	0.00236729935227642000	695593
89	JESSE	0.00232284227545307000	682530
90	CRAIG	0.00228950031865613000	672733
91	ALAN	0.00226727007860330000	666201
92	SHAWN	0.00222281640506225000	653139
93	CLARENCE	0.00218947444826532000	643342
94	SEAN	0.00218947444826532000	643342
95	PHILIP	0.00218947444826532000	643342
96	CHRIS	0.00218947444826532000	643342
97	JOHNNY	0.00216724420821249000	636810
98	EARL	0.00214501737144196000	630279
99	JIMMY	0.00212278713138913000	623747
100	ANTONIO	0.00211167541464503000	620482
101	DANNY	0.00211167541464503000	620482
102	BRYAN	0.00211167541464503000	620482
103	TONY	0.00211167541464503000	620482
104	LUIS	0.00210056029461861000	617216
105	MIKE	0.00210056029461861000	617216
106	STANLEY	0.00206721833782167000	607419
107	LEONARD	0.00206721833782167000	607419
108	NATHAN	0.00205610321779526000	604153
109	DALE	0.00204499150105115000	600888
110	MANUEL	0.00201164614097190000	591090
111	RODNEY	0.00200053442422780000	587825
112	CURTIS	0.00200053442422780000	587825
113	NORMAN	0.00196719246743086000	578028
114	ALLEN	0.00193385051063392000	568231
115	MARVIN	0.00190050855383699000	558434
116	VINCENT	0.00186716319375774000	548636
117	GLENN	0.00185605147701363000	545371
118	JEFFERY	0.00184493635698722000	542105
119	TRAVIS	0.00184493635698722000	542105
120	JEFF	0.00184493635698722000	542105
121	CHAD	0.00183382123696080000	538839
122	JACOB	0.00183382123696080000	538839
123	LEE	0.00180047928016386000	529042
124	MELVIN	0.00180047928016386000	529042
125	ALFRED	0.00180047928016386000	529042
126	KYLE	0.00177825244339334000	522511
127	FRANCIS	0.00177825244339334000	522511
128	BRADLEY	0.00176713732336693000	519245
129	JESUS	0.00172268024654357000	506182
130	HERBERT	0.00172268024654357000	506182
131	FREDERICK	0.00171156852979947000	502917
132	RAY	0.00170045340977305000	499651
