1	JAMES	3.32	10835570
2	JOHN	3.27	10682082
3	ROBERT	3.14	10264073
4	MICHAEL	2.63	8585507
5	WILLIAM	2.45	8004214
6	DAVID	2.36	7716833
7	RICHARD	1.70	5561475
8	CHARLES	1.52	4973651
9	JOSEPH	1.40	4585033
10	THOMAS	1.38	4506656
11	CHRISTOPHER	1.04	3379992
12	DANIEL	0.97	3180785
13	PAUL	0.95	3095877
14	MARK	0.94	3063220
15	DONALD	0.93	3040360
16	GEORGE	0.93	3027297
17	KENNETH	0.83	2697462
18	STEVEN	0.78	2547241
19	EDWARD	0.78	2543975
20	BRIAN	0.74	2403550
21	RONALD	0.73	2367627
22	ANTHONY	0.72	2354565
23	KEVIN	0.67	2191280
24	JASON	0.66	2155357
25	MATTHEW	0.66	2145560
26	GARY	0.65	2122701
27	TIMOTHY	0.64	2090044
28	JOSE	0.61	2001870
29	LARRY	0.60	1952884
30	JEFFREY	0.59	1930025
31	FRANK	0.58	1897368
32	SCOTT	0.55	1783068
33	ERIC	0.54	1776537
34	STEPHEN	0.54	1763474
35	ANDREW	0.54	1753677
36	RAYMOND	0.49	1593658
37	GREGORY	0.44	1440171
38	JOSHUA	0.44	1420576
39	JERRY	0.43	1410779
40	DENNIS	0.42	1355263
41	WALTER	0.40	1303012
42	PATRICK	0.39	1270355
43	PETER	0.38	1244229
44	HAROLD	0.37	1211572
45	DOUGLAS	0.37	1198509
46	HENRY	0.37	1191978
47	CARL	0.35	1129930
48	ARTHUR	0.34	1094007
49	RYAN	0.33	1071147
50	ROGER	0.32	1051553
51	JOE	0.32	1048287
52	JUAN	0.32	1031959
53	JACK	0.32	1028693
54	ALBERT	0.31	1025428
55	JONATHAN	0.31	1022162
56	JUSTIN	0.31	1015631
57	TERRY	0.31	1015631
58	GERALD	0.31	1009099
59	KEITH	0.31	1005833
60	SAMUEL	0.31	999302
61	WILLIE	0.30	986239
62	RALPH	0.28	920925
63	LAWRENCE	0.28	920925
64	NICHOLAS	0.28	898066
65	ROY	0.27	891534
66	BENJAMIN	0.27	881737
67	BRUCE	0.26	858877
68	BRANDON	0.26	849080
69	ADAM	0.26	845815
70	HARRY	0.25	819689
71	FRED	0.25	819689
72	WAYNE	0.25	813158
73	BILLY	0.25	809892
74	STEVE	0.25	803360
75	LOUIS	0.24	793563
